OBJECTID,ADDRESS,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,TOWN,TOWN_ID,ZIPCODE,STATUS
323076165,16 FARNUM ROAD,16,FARNUM ROAD,,,,WALTHAM,308,02453,ACTIVE
323076167,26 FARNUM ROAD,26,FARNUM ROAD,,,,WALTHAM,308,02453,ACTIVE
323076181,107 FARNUM ROAD,107,FARNUM ROAD,,,,WALTHAM,308,02453,ACTIVE
323076184,124 FARNUM ROAD,124,FARNUM ROAD,,,,WALTHAM,308,02453,ACTIVE
323076186,15 FARWELL STREET,15,FARWELL STREET,,,,WALTHAM,308,02453,ACTIVE
323076191,21 FARWELL STREET,21,FARWELL STREET,,,,WALTHAM,308,02453,ACTIVE
323076212,21 FELTON STREET,21,FELTON STREET,,,,WALTHAM,308,02453,ACTIVE
323077180,35 GLEN CIRCLE,35,GLEN CIRCLE,,,,WALTHAM,308,02451,ACTIVE
323077164,26 GILMAN ROAD,26,GILMAN ROAD,,,,WALTHAM,308,02452,ACTIVE
323077166,30 GILMAN ROAD,30,GILMAN ROAD,,,,WALTHAM,308,02452,ACTIVE
323077177,21 GLEN CIRCLE,21,GLEN CIRCLE,,,,WALTHAM,308,02451,ACTIVE
323077193,36 GOLDENCREST AVENUE,36,GOLDENCREST AVENUE,,,,WALTHAM,308,02451,ACTIVE
323077199,61 GOLDENCREST AVENUE,61,GOLDENCREST AVENUE,,,,WALTHAM,308,02451,ACTIVE
323077202,75 GOLDENCREST AVENUE,75,GOLDENCREST AVENUE,,,,WALTHAM,308,02451,ACTIVE
323077221,23 GORDON STREET,23,GORDON STREET,,,,WALTHAM,308,02453,ACTIVE
323071683,16-18 BERKSHIRE ROAD,16-18,BERKSHIRE ROAD,,,,WALTHAM,308,02453,ACTIVE
323071684,17-19 BERKSHIRE ROAD,17-19,BERKSHIRE ROAD,,,,WALTHAM,308,02453,ACTIVE
323071685,17 BERKSHIRE ROAD,17,BERKSHIRE ROAD,,,,WALTHAM,308,02453,ACTIVE
323071686,18 BERKSHIRE ROAD,18,BERKSHIRE ROAD,,,,WALTHAM,308,02453,ACTIVE
323071687,19 BERKSHIRE ROAD,19,BERKSHIRE ROAD,,,,WALTHAM,308,02453,ACTIVE
323071701,28 BERKSHIRE ROAD,28,BERKSHIRE ROAD,,,,WALTHAM,308,02453,ACTIVE
323071714,15 BIGELOW ROAD,15,BIGELOW ROAD,,,,WALTHAM,308,02451,ACTIVE
323071716,21 BIGELOW ROAD,21,BIGELOW ROAD,,,,WALTHAM,308,02451,ACTIVE
323071728,23 BIRCH ROAD,23,BIRCH ROAD,,,,WALTHAM,308,02451,ACTIVE
323071735,1 BISHOPS FOREST DRIVE,1,BISHOPS FOREST DRIVE,,BISHOPS FOREST,,WALTHAM,308,02452,ACTIVE
323072519,20 BROOKWAY COURT,20,BROOKWAY COURT,,,,WALTHAM,308,02452,LINKED
323072523,10 BROOKWAY ROAD,10,BROOKWAY ROAD,,,,WALTHAM,308,02452,LINKED
323072530,5 BROWN STREET,5,BROWN STREET,,,,WALTHAM,308,02453,ACTIVE
323072537,14-20 BROWN STREET,14-20,BROWN STREET,,,,WALTHAM,308,02453,LINKED
323072544,18 BROWN STREET,18,BROWN STREET,,,,WALTHAM,308,02453,LINKED
323072546,20 BROWN STREET,20,BROWN STREET,,,,WALTHAM,308,02453,LINKED
323072549,25 BROWN STREET,25,BROWN STREET,,,,WALTHAM,308,02453,ACTIVE
323072555,34 BROWN STREET,34,BROWN STREET,,,,WALTHAM,308,02453,LINKED
323072559,38 BROWN STREET,38,BROWN STREET,,,,WALTHAM,308,02453,ACTIVE
323072562,43 BROWN STREET,43,BROWN STREET,,,,WALTHAM,308,02453,ACTIVE
323072564,45 BROWN STREET,45,BROWN STREET,,,,WALTHAM,308,02453,ACTIVE
323072567,51 BROWN STREET,51,BROWN STREET,,,,WALTHAM,308,02453,ACTIVE
323073511,104-106 CHARLES STREET,104-106,CHARLES STREET,,,,WALTHAM,308,02453,ACTIVE
323073524,116 CHARLES STREET,116,CHARLES STREET,,,,WALTHAM,308,02453,ACTIVE
323073529,123 CHARLES STREET,123,CHARLES STREET,,,,WALTHAM,308,02453,LINKED
323073532,126 CHARLES STREET,126,CHARLES STREET,,,,WALTHAM,308,02453,ACTIVE
323073533,128 CHARLES STREET,128,CHARLES STREET,,,,WALTHAM,308,02453,INACTIVE
323073547,141-143 CHARLES STREET,141-143,CHARLES STREET,,,,WALTHAM,308,02453,ACTIVE
323073561,169 CHARLES STREET,169,CHARLES STREET,,,,WALTHAM,308,02453,ACTIVE
323070744,55 ATHLETIC FIELD ROAD,55,ATHLETIC FIELD ROAD,,,,WALTHAM,308,02451,LINKED
323070749,10-12 AUBURN STREET,10-12,AUBURN STREET,,,,WALTHAM,308,02453,ACTIVE
323070753,14 AUBURN STREET,14,AUBURN STREET,,,,WALTHAM,308,02453,INACTIVE
323070768,43 AUBURN STREET,43,AUBURN STREET,,,,WALTHAM,308,02453,ACTIVE
323070769,44 AUBURN STREET,44,AUBURN STREET,,,,WALTHAM,308,02453,ACTIVE
323070780,9 AUBURN TERRACE,9,AUBURN TERRACE,,,,WALTHAM,308,02453,ACTIVE
323070781,10 AUBURN TERRACE,10,AUBURN TERRACE,,,,WALTHAM,308,02453,ACTIVE
323070783,11 AUGUSTUS ROAD,11,AUGUSTUS ROAD,,,,WALTHAM,308,02452,ACTIVE
323070784,14 AUGUSTUS ROAD,14,AUGUSTUS ROAD,,,,WALTHAM,308,02452,ACTIVE
323070786,22 AUGUSTUS ROAD,22,AUGUSTUS ROAD,,,,WALTHAM,308,02452,ACTIVE
323070792,40 AUGUSTUS ROAD,40,AUGUSTUS ROAD,,,,WALTHAM,308,02452,ACTIVE
323070796,68 AUGUSTUS ROAD,68,AUGUSTUS ROAD,,,,WALTHAM,308,02452,ACTIVE
323071742,8 BISHOPS FOREST DRIVE,8,BISHOPS FOREST DRIVE,,BISHOPS FOREST,,WALTHAM,308,02452,LINKED
323071776,42 BISHOPS FOREST DRIVE,42,BISHOPS FOREST DRIVE,,BISHOPS FOREST,,WALTHAM,308,02452,LINKED
323072590,77-79 BROWN STREET,77-79,BROWN STREET,,,,WALTHAM,308,02453,ACTIVE
323072629,136 BROWN STREET,136,BROWN STREET,,,,WALTHAM,308,02453,ACTIVE
